sample_id	reads_file	reference_genbank	reference_seq_name	status	notes
LFFHG8_1_pcr1_sub5	data/reads/LFFHG8_fastq/LFFHG8_1_pcr1_sub5.fastq	data/references/gblock_f1r1.gb	gblock_f1r1	amplicon	Aligned; 4/4586 reads mapped (0.09%)
LFFHG8_1_pcr1_sub5_mock	data/reads/LFFHG8_1_pcr1_sub5.mock.fastq	data/references/gblock_f1r1.gb	gblock_f1r1	amplicon	Historical smoke-test input generated from consensus FASTA
